# BindingGYM inter-assay (cluster) 5-fold split
# generated by make_inter_assay_folds.py with scikit-learn 1.2.1
# source: GroupKFold(n_splits=5).split(clusters, groups=clusters), per BindingGYM training/main.py:348
DMS_id	cluster	test_fold
KRAS_DARPinK27_norfitness_5O2S	KRAS_RAF1_norfitness_6VJJ	0
KRAS_PICK3CG-RBD_norfitness_1HE8	KRAS_RAF1_norfitness_6VJJ	0
KRAS_RAF1-RBD_norfitness_6VJJ	KRAS_RAF1_norfitness_6VJJ	0
KRAS_RAF1_norfitness_6VJJ	KRAS_RAF1_norfitness_6VJJ	0
KRAS_RALGDS-RBD_norfitness_1LFD	KRAS_RAF1_norfitness_6VJJ	0
KRAS_SOS1_norfitness_8BE4	KRAS_RAF1_norfitness_6VJJ	0
BH3_Bcl-xL_normed_1PQ1	BH3_Bcl-xL_normed_1PQ1	1
Z-domain_ZSPA-1_LL1_fitness_1LP1	Z-domain_ZSPA-1_LL2_fitness_1LP1	1
Z-domain_ZSPA-1_LL2_fitness_1LP1	Z-domain_ZSPA-1_LL2_fitness_1LP1	1
Z-domain_ZpA963_HL1_fitness_2M5A	Z-domain_ZSPA-1_LL2_fitness_1LP1	1
Z-domain_ZpA963_HL2_fitness_2M5A	Z-domain_ZSPA-1_LL2_fitness_1LP1	1
ACE2_SARS2-RBD_enrich_6M17	ACE2_SARS2-RBD_enrich_6M17	2
CXCR4_CXCL12_enrich_8U4O	CXCR4_CXCL12_enrich_8U4O	2
PSD95_CRIPT_1BE9	PSD95_Tm2F_1BE9	2
PSD95_Tm2F_1BE9	PSD95_Tm2F_1BE9	2
hYAP65_peptide_FunctioncalScore_1JMQ	hYAP65_peptide_FunctioncalScore_1JMQ	2
4D5_HER2_fitness_1N8Z	4D5_HER2_fitness_1N8Z	3
CD19_FMC63_Fitness_7URV	CD19_FMC63_Fitness_7URV	3
GB1_IgG-Fc_fitness_1FCC	GB1_IgG-Fc_fitness_1FCC_2016	3
GB1_IgG-Fc_fitness_1FCC_2016	GB1_IgG-Fc_fitness_1FCC_2016	3
SARS2-RBD_ACE2_deltaKd_6M0J	SARS2-RBD_ACE2_deltaKd_6M0J	3
5A12_Ang2_fitness_4ZFG	5A12_VEGF_fitness_4ZFF	4
5A12_VEGF_fitness_4ZFF	5A12_VEGF_fitness_4ZFF	4
BH3_Mcl-1_normed_3KZ0	BH3_Mcl-1_normed_3KZ0	4
HLA-A2_TAPBPR_meanscore_5WER	HLA-A2_TAPBPR_meanscore_5WER	4
