DMS_id,filename,registered,tier,family_id,structure_cluster_id,exclusion_reason,n_rows,n_unique_keys,n_dup_keys,poi,pdb_file,pdb_exists,side0_chains,side1_chains,scale_type,transform_applied,sign_convention,has_wt_row,wt_row_index,wt_value,wt_percentile,rho_depth_score,max_mut,mut_count_hist,n_positions,aa_per_pos_median,y_min,y_max,y_sd,y_mad,n_distinct_values,modal_decimals,quantum,floor_value,floor_frac,ceil_value,ceil_frac,modal_value_frac,n_nested,n_samesite,n_nested_wt_anchored,n_nested_censor_touching,n_primary_Pa,pairs_per_variant,wt_degree,max_degree,n_edges_ge3_siblings,mean_obs_per_pairwise_col,pairwise_feasible,design_iface_frac,bg_iface_frac,iface_bias_factor,eligible_C1,eligible_C2,eligible_C3L,eligible_C4S,eligible_C4P,eligible_C4I,eligible_cluster_channel,underpowered_G8
4D5_HER2_fitness_1N8Z,4D5_HER2_fitness_1N8Z.csv,True,EXCLUDED,,4D5_HER2_fitness_1N8Z,"nested = 262 < 500 power gate; 0.50 pairs/variant; no singles, no doubles; SI 0.778",2080,2080,0,1N8Z_hm,1N8Z_hm.pdb,True,AB,C,fitness,none,higher_is_better,True,990,2.165934323,95.1442,-0.23285,9,0:1;3:5;4:32;5:168;6:445;7:635;8:623;9:171,9,6.0,-3.7256306744646004,5.117711896627475,1.189763886367937,0.08662242385995719,535,16,1e-16,,,,,0.03125,262,783,0,0,262,0.5024,0,10,8,20.6336,True,,,,False,False,False,False,False,False,True,
5A12_Ang2_fitness_4ZFG,5A12_Ang2_fitness_4ZFG.csv,True,EXCLUDED,,5A12_VEGF_fitness_4ZFF,"span 0.648, sd 0.0787 => sub-replicate resolution; SI 0.844",944,944,0,4ZFG,4ZFG.pdb,True,HL,A,fitness,none,higher_is_better,True,334,-0.00315417942,87.2881,-0.248721,8,0:1;1:51;2:113;3:214;4:436;5:115;6:5;7:4;8:5,9,6.0,-0.3416140136516299,0.3064205612092379,0.07872049987180435,0.07680301317948403,520,17,1e-17,,,,,0.023305084745762712,1332,4454,51,0,1281,6.1292,51,51,117,6.9855,True,,,,False,False,False,False,False,True,False,
5A12_VEGF_fitness_4ZFF,5A12_VEGF_fitness_4ZFF.csv,True,PRIMARY,F4,5A12_VEGF_fitness_4ZFF,,29981,29981,0,4ZFF_CHL,4ZFF_CHL.pdb,True,HL,C,fitness,none,higher_is_better,True,12101,-2.882337395,0.0233,0.416835,9,0:1;1:54;2:175;3:482;4:2371;5:5243;6:7662;7:10201;8:3791;9:1,9,6.0,-3.499906279398884,2.9883959216017657,0.9619305684179883,0.31196763614502326,1474,16,1e-16,,,,,0.020379573730029018,22064,141122,54,0,22010,5.443,54,54,1721,211.8687,True,,,,True,True,True,False,False,True,True,
ACE2_SARS2-RBD_enrich_6M17,ACE2_SARS2-RBD_enrich_6M17.csv,True,EXCLUDED,,ACE2_SARS2-RBD_enrich_6M17,max_mut = 1 => P_a empty by construction,2186,2186,0,6M17_BE,6M17_BE.pdb,True,B,E,enrich,none,higher_is_better,True,0,0,44.2818,0.004221,1,0:1;1:2185,115,19.0,-2.8461636995,3.963689952,1.0864285679520223,0.7873067798394751,2186,11,1e-11,,,,,0.0004574565416285453,2185,19665,2185,0,0,9.9954,2185,2185,0,,False,,,,False,False,False,False,False,False,False,
BH3_Bcl-xL_normed_1PQ1,BH3_Bcl-xL_normed_1PQ1.csv,True,EXCLUDED,,BH3_Bcl-xL_normed_1PQ1,n = 518; 33% dead plateau; SI 0.648; 10/10 interface,518,518,0,1PQ1_hm,1PQ1_hm.pdb,True,B,A,normed,none,higher_is_better,True,389,-0.1008565474,94.4015,-0.581608,5,0:1;1:170;2:55;3:120;4:125;5:47,10,17.0,-0.9785452363953856,1.2802281321737483,0.3191048943005188,0.09604085410212733,518,16,1e-16,,,,,0.0019305019305019305,1371,2284,170,0,1201,7.056,170,170,1201,26.8033,True,,,,False,False,False,False,False,True,False,
BH3_Mcl-1_normed_3KZ0,BH3_Mcl-1_normed_3KZ0.csv,True,EXCLUDED,,BH3_Mcl-1_normed_3KZ0,n = 518; 20% dead plateau; SI 0.682; 10/10 interface,518,518,0,3KZ0_hm,3KZ0_hm.pdb,True,C,A,normed,none,higher_is_better,True,389,-0.1095661593,90.3475,-0.323512,5,0:1;1:170;2:55;3:120;4:125;5:47,10,17.0,-0.9602807369698936,2.038864197629384,0.4926127482558697,0.11903543902954837,518,16,1e-16,,,,,0.0019305019305019305,1371,2284,170,0,1201,7.056,170,170,1201,26.8033,True,,,,False,False,False,False,False,True,False,
CD19_FMC63_Fitness_7URV,CD19_FMC63_Fitness_7URV.csv,True,PRIMARY,F7,CD19_FMC63_Fitness_7URV,,3886,3886,0,7URV_hm,7URV_hm.pdb,True,C,D,Fitness,none,higher_is_better,True,507,0,29.6963,0.735098,3,0:1;1:1618;2:478;3:1789,218,8.0,-8.74401800682658,13.8061946060993,4.969835766374274,5.026953699017251,2213,15,1e-15,,,,,0.012609366958311889,4540,23219,1618,0,2922,7.1433,1618,1618,340,3.3669,False,,,,True,True,True,True,True,False,True,
CR6261_FluAH1_logKd_3GBN,CR6261_FluAH1_logKd_3GBN.csv,False,ARM,F8,CR9114_FluAH1_logKd_4FQI,,1887,1887,0,3GBN_hm,3GBN_hm.pdb,False,HL,AB,logKd,none,higher_is_better,True,0,7,0.0,0.585553,11,0:1;1:9;2:49;3:149;4:308;5:430;6:430;7:302;8:150;9:48;10:10;11:1,11,1.0,7.0,9.728612340845473,0.8014808865215607,0.45915333817947057,1674,15,1e-15,7,0.11340752517223106,,,0.11340752517223106,9860,0,9,1521,8339,5.2252,9,11,8337,470.3455,True,,,,True,True,True,False,False,False,False,
CR9114_FluAH1_logKd_4FQI,CR9114_FluAH1_logKd_4FQI.csv,False,ARM,F8,CR9114_FluAH1_logKd_4FQI,,65094,65094,0,4FQI_hm,4FQI_hm.pdb,False,HL,AB,logKd,none,higher_is_better,True,0,8.424622015,19.1815,0.370649,16,0:1;1:16;2:118;3:552;4:1796;5:4302;6:7915;7:11339;8:12797;9:11394;10:7984;11:4363;12:1820;13:560;14:120;15:16;16:1,16,1.0,7.0,9.83450771611474,0.6394324586248545,0.23519847683765396,63420,15,1e-15,7,0.025732018311979597,,,0.025732018311979597,517544,0,16,18967,498561,7.9507,16,16,498561,16305.6583,True,,,,True,True,True,False,False,True,False,
CR9114_FluAH3_logKd_4FQY,CR9114_FluAH3_logKd_4FQY.csv,False,CONTROL,,CR9114_FluAH1_logKd_4FQI,"not a data point: 58,361/65,535 = 89.05% at exactly 6.000; the median IS the floor; 86.1% of nested edges are floor-floor",65535,65535,0,4FQY_hm,4FQY_hm.pdb,False,HL,AB,logKd,none,higher_is_better,True,0,6,0.0,0.318476,16,0:1;1:16;2:120;3:560;4:1820;5:4368;6:8008;7:11440;8:12870;9:11440;10:8008;11:4368;12:1820;13:559;14:120;15:16;16:1,16,1.0,6.0,9.041930737842575,0.360638844459583,0.0,7175,1,0.1,6,0.8905317769130998,,,0.8905317769130998,524272,0,16,482584,41688,7.9999,16,16,41688,16383.35,True,,,,False,False,False,False,False,True,False,
