dms_id,stat,n_finite,n_distinct,frac_tied,ref_mean,T_mean,T_median,T_min,T_max,T_sd,ks_p_rand,ks_D_rand,ks_p_mid,ks_p_cons,within_tol,grid_guard_pass,live,note
5A12_VEGF_fitness_4ZFF,rate_sigma_tau2,200,190,0.000553,0.18099577426390404,1.0000439354145378,0.9889357242181868,0.8007871673820822,1.2254737653054135,0.09374489836291194,1.0,0.007896099980583715,1.0,0.9999999998322193,True,True,True,
5A12_VEGF_fitness_4ZFF,rate_sigma_tau3,200,176,0.001357,0.09978666848418756,1.0000862814457014,0.9807329321535411,0.694715245617362,1.3745437956204383,0.13137781304325508,0.9999999999999999,0.011774331399536209,1.0,0.9999999998322193,True,True,True,
5A12_VEGF_fitness_4ZFF,rate_sigma_tau4,200,184,0.000854,0.05949086695747001,1.000183341412885,0.9947995486623651,0.590719319748736,1.5578648377151965,0.1915132832222512,1.0,0.007841297055828034,1.0,0.9999999998322193,True,True,True,
5A12_VEGF_fitness_4ZFF,rate_sigma_tau5,200,186,0.000754,0.03599259360232642,1.0004468403925662,0.9928634688179098,0.39520336978451853,1.8842607637362287,0.2990210624681906,1.0,0.009366406145958905,1.0,0.9999999998322193,True,True,True,
5A12_VEGF_fitness_4ZFF,rate_sigma_tau6,200,174,0.001357,0.021857960741548527,1.0009761691399524,0.9059243853996611,0.24644347545555775,2.3947152504575766,0.44219296221667115,0.9999999999999889,0.012616693411159452,1.0,0.9999999998322193,True,True,True,
5A12_VEGF_fitness_4ZFF,rate_sigma_tau8,200,150,0.002965,0.008913349691021446,1.002494671496672,0.761203609650742,0.1319662305200602,3.7413591627931138,0.7082060943068105,1.0,0.010476548060059931,0.999999999999994,0.9999948480179858,True,True,True,
5A12_VEGF_fitness_4ZFF,rate_mad_tau2,200,180,0.001005,0.18222260087241005,1.000020562519431,0.9961519958632985,0.8554150941978719,1.2061226307293045,0.06413311640010057,1.0,0.007129658498540692,1.0,1.0,True,True,True,
5A12_VEGF_fitness_4ZFF,rate_mad_tau3,200,171,0.001608,0.06866503089785532,1.0000751049359926,0.9955575127861209,0.6983986267302833,1.3823542150450938,0.12257543245150511,1.0,0.008591643316573028,1.0,0.9999999998322193,True,True,True,
5A12_VEGF_fitness_4ZFF,rate_mad_tau4,200,156,0.002563,0.029490412577244638,1.000130058571996,0.9829290763120613,0.5904451364152649,1.535629721064195,0.1613039787094925,1.0,0.009547094762138664,1.0,0.9999999998322193,True,True,True,
5A12_VEGF_fitness_4ZFF,rate_mad_tau5,200,145,0.003618,0.009833924027626319,1.0007856251501617,0.9307161776832331,0.33156688959340935,2.391480208552524,0.39672441053418284,1.0,0.009043596646429841,0.9999999998322193,0.9993642592607782,True,True,True,
