DMS_id,tier,family_id,n,n_Pa,max_order,orders,frac_Pa_bg_saturated,frac_Pa_add_saturated,frac_variants_in_singleton_stratum,mad_e_by_order,ks_obs_vs_N2,TR1_obs,TR1_N2_mean,TR1_N2_sd,TR1_z,T_N2_TR1,TR2_obs,TR2_N2_mean,TR2_N2_sd,TR2_z,T_N2_TR2,rate_sigma_tau3_obs,rate_sigma_tau3_N2_mean,rate_sigma_tau3_N2_sd,rate_sigma_tau3_z,T_N2_rate_sigma_tau3,rate_sigma_tau4_obs,rate_sigma_tau4_N2_mean,rate_sigma_tau4_N2_sd,rate_sigma_tau4_z,T_N2_rate_sigma_tau4,z_max,N2_power
5A12_VEGF_fitness_4ZFF,PRIMARY,F4,29981,22008,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.006225,0.006225,0.0001,"{""1"": 0.949657, ""2"": 0.955457, ""3"": 0.624156, ""4"": 0.773624, ""5"": 0.820861, ""6"": 0.760178, ""7"": 0.671033, ""8"": 0.591722}",0.042121,3.998385,4.951555,0.21389715,-4.4562,0.8075,3.104102,3.205826,0.05833233,-1.7439,0.9683,0.017585,0.021214,0.00109588,-3.3118,0.8289,0.00359,0.007067,0.00062117,-5.5977,0.508,5.5977,WEAK
CD19_FMC63_Fitness_7URV,PRIMARY,F7,3886,2883,3,"[0, 1, 2, 3]",0.007284,0.008672,0.000257,"{""1"": 4.483578, ""2"": 2.908661, ""3"": 2.448731}",0.055498,40.660864,34.769524,6.38922123,0.9221,1.1694,10.161914,11.458092,1.20003849,-1.0801,0.8869,0.115158,0.155572,0.00834321,-4.844,0.7402,0.067638,0.096845,0.00650457,-4.4903,0.6984,4.844,POWERED
CR6261_FluAH1_logKd_3GBN,ARM,F8,1887,8339,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",0.008754,0.010913,0.014838,"{""2"": 0.232773, ""3"": 0.30654, ""4"": 0.276393, ""5"": 0.273523, ""6"": 0.244391, ""7"": 0.222674, ""8"": 0.223946, ""9"": 0.154327, ""10"": 0.125039}",0.210097,4.942322,3.52351,0.14224299,9.9746,1.4027,3.234731,2.574477,0.05475604,12.0581,1.2565,0.005996,0.012191,0.00122043,-5.0761,0.4918,0.001199,0.001807,0.00049116,-1.2379,0.6636,9.9746,POWERED
CR9114_FluAH1_logKd_4FQI,ARM,F8,65094,498561,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.007291,0.006838,0.000384,"{""1"": 0.124143, ""2"": 0.178091, ""3"": 0.213432, ""4"": 0.277725, ""5"": 0.285581, ""6"": 0.293587, ""7"": 0.31001, ""8"": 0.334184, ""9"": 0.366396, ""10"": 0.386763, ""11"": 0.406524, ""12"": 0.384839, ""13"": 0.320456, ""14"": 0.169218, ""15"": 0.049345}",0.234637,6.4381,4.684977,0.05346748,32.7886,1.3742,4.003106,3.018503,0.01219526,80.7366,1.3262,0.026296,0.060755,0.00036538,-94.3098,0.4328,0.007086,0.021677,0.00024967,-58.4396,0.3269,94.3098,POWERED
CR9114_FluAH3_logKd_4FQY,CONTROL,,65535,41688,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.007028,0.008348,0.000214,"{""5"": 0.436359, ""6"": 0.405987, ""7"": 0.386342, ""8"": 0.361779, ""9"": 0.328964, ""10"": 0.308292, ""11"": 0.299397, ""12"": 0.279975, ""13"": 0.264087, ""14"": 0.250808, ""15"": 0.183531}",0.191974,6.298352,5.089469,0.07701693,15.6963,1.2375,3.893968,3.464948,0.03613527,11.8726,1.1238,0.010818,0.030396,0.0005745,-34.0776,0.3559,0.003718,0.012528,0.0004271,-20.6266,0.2968,34.0776,POWERED
GB1_IgG-Fc_fitness_1FCC,PRIMARY,F1,92891,183690,2,"[0, 1, 2]",0.004328,0.008569,1.1e-05,"{""1"": 0.154451, ""2"": 0.18224}",0.094344,4.886958,6.39145,0.47942542,-3.1381,0.7646,3.158351,3.847879,0.1665814,-4.1393,0.8208,0.057091,0.087745,0.00404255,-7.583,0.6506,0.026109,0.051969,0.00348399,-7.4225,0.5024,7.583,POWERED
GB1_IgG-Fc_fitness_1FCC_2016,PRIMARY,F1,22176,52149,4,"[0, 1, 2, 3, 4]",0.005388,0.006654,4.5e-05,"{""1"": 0.360285, ""2"": 0.565135, ""3"": 0.639871, ""4"": 0.620008}",0.077087,3.853275,3.668465,0.05542243,3.3346,1.0504,2.831614,2.694774,0.0256232,5.3405,1.0508,0.014363,0.023062,0.0007403,-11.7509,0.6228,0.001956,0.004574,0.00030724,-8.5218,0.4276,11.7509,POWERED
KRAS_PICK3CG-RBD_norfitness_1HE8,PRIMARY,F2,19203,32524,2,"[0, 1, 2]",0.005903,0.009132,5.2e-05,"{""1"": 0.106408, ""2"": 0.150927}",0.099434,5.695716,8.032969,1.06353025,-2.1976,0.709,3.195499,4.209281,1.61682813,-0.627,0.7592,0.037726,0.069507,0.01290809,-2.4621,0.5428,0.015066,0.033618,0.01025426,-1.8093,0.4481,2.4621,POWERED
KRAS_RAF1-RBD_norfitness_6VJJ,PRIMARY,F2,23162,40257,2,"[0, 1, 2]",0.006682,0.00939,4.3e-05,"{""1"": 0.092673, ""2"": 0.135866}",0.063244,9.328936,9.118188,0.48302389,0.4363,1.0231,4.134643,4.296216,0.40632618,-0.3976,0.9624,0.037087,0.077271,0.01170576,-3.4329,0.48,0.019425,0.041471,0.00879231,-2.5074,0.4684,3.4329,POWERED
KRAS_RAF1_norfitness_6VJJ,PRIMARY,F2,12677,22938,2,"[0, 1, 2]",0.006801,0.008196,7.9e-05,"{""1"": 0.117579, ""2"": 0.181065}",0.043334,4.269409,6.631525,0.96204266,-2.4553,0.6438,2.770347,3.905491,1.29202994,-0.8786,0.7093,0.040806,0.053032,0.01297111,-0.9426,0.7695,0.013515,0.025722,0.01063182,-1.1481,0.5254,2.4553,WEAK
KRAS_RALGDS-RBD_norfitness_1LFD,PRIMARY,F2,20341,34998,2,"[0, 1, 2]",0.024401,0.008315,4.9e-05,"{""1"": 0.094844, ""2"": 0.134591}",0.104577,8.052262,7.599355,0.5467554,0.8284,1.0596,4.41094,4.195019,0.69456267,0.3109,1.0515,0.042917,0.077017,0.01236813,-2.7571,0.5572,0.022716,0.040208,0.00935923,-1.869,0.565,2.7571,POWERED
KRAS_SOS1_norfitness_8BE4,PRIMARY,F2,19425,33192,2,"[0, 1, 2]",0.0047,0.008647,5.1e-05,"{""1"": 0.109724, ""2"": 0.172252}",0.026603,5.436574,6.047818,0.39266035,-1.5567,0.8989,3.09684,3.556892,0.45520761,-1.0106,0.8707,0.047752,0.063523,0.01025064,-1.5384,0.7517,0.018077,0.028455,0.00694111,-1.4952,0.6353,1.5567,WEAK
SARS2-RBD_ACE2_deltaKd_6M0J,PRIMARY,F3,21872,14516,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.006958,0.009576,0.001143,"{""1"": 0.793918, ""2"": 0.688506, ""3"": 0.777433, ""4"": 0.877801, ""5"": 0.991794, ""6"": 1.175764, ""7"": 3.305104}",0.187793,10.066845,10.060908,1.00830443,0.0059,1.0006,3.071012,4.882627,0.37037139,-4.8913,0.629,0.007647,0.036282,0.00201141,-14.2364,0.2108,0.004133,0.019668,0.00163789,-9.4847,0.2102,14.2364,POWERED
