DMS_id,null,B,from_cache,wall_s,s_per_rep,core_s
5A12_VEGF_fitness_4ZFF,N1,200,True,0.0,15.388,3077.7
5A12_VEGF_fitness_4ZFF,N2,200,True,0.0,0.109,21.8
5A12_VEGF_fitness_4ZFF,N2b,200,True,0.0,17.036,3407.1
5A12_VEGF_fitness_4ZFF,N2c,200,True,0.0,15.352,3070.5
CD19_FMC63_Fitness_7URV,N1,200,True,0.0,2.191,438.3
CD19_FMC63_Fitness_7URV,N2,200,True,0.0,0.08,16.1
CD19_FMC63_Fitness_7URV,N2b,200,True,0.0,2.222,444.4
CD19_FMC63_Fitness_7URV,N2c,200,True,0.0,2.141,428.2
CR6261_FluAH1_logKd_3GBN,N1,200,True,0.0,0.796,159.1
CR6261_FluAH1_logKd_3GBN,N2,200,True,0.0,0.081,16.1
CR6261_FluAH1_logKd_3GBN,N2b,200,True,0.0,0.927,185.3
CR6261_FluAH1_logKd_3GBN,N2c,200,True,0.0,0.794,158.8
CR9114_FluAH1_logKd_4FQI,N1,200,True,0.0,16.272,3254.3
CR9114_FluAH1_logKd_4FQI,N2,200,True,0.0,1.28,256.0
CR9114_FluAH1_logKd_4FQI,N2b,200,True,0.0,18.729,3745.7
CR9114_FluAH1_logKd_4FQI,N2c,200,True,0.0,16.309,3261.9
CR9114_FluAH3_logKd_4FQY,N1,200,True,0.0,13.769,2753.8
CR9114_FluAH3_logKd_4FQY,N2,200,True,0.0,0.235,47.0
CR9114_FluAH3_logKd_4FQY,N2b,200,True,0.0,17.203,3440.7
CR9114_FluAH3_logKd_4FQY,N2c,200,True,0.0,13.684,2736.7
GB1_IgG-Fc_fitness_1FCC,N1,200,True,0.0,23.822,4764.4
GB1_IgG-Fc_fitness_1FCC,N2,200,True,0.0,0.584,116.8
GB1_IgG-Fc_fitness_1FCC,N2b,200,True,0.0,25.009,5001.7
GB1_IgG-Fc_fitness_1FCC,N2c,200,True,0.0,23.805,4760.9
GB1_IgG-Fc_fitness_1FCC_2016,N1,200,True,0.0,3.706,741.2
GB1_IgG-Fc_fitness_1FCC_2016,N2,200,True,0.0,0.207,41.4
GB1_IgG-Fc_fitness_1FCC_2016,N2b,200,True,0.0,4.635,927.0
GB1_IgG-Fc_fitness_1FCC_2016,N2c,200,True,0.0,3.76,752.1
KRAS_PICK3CG-RBD_norfitness_1HE8,N1,200,True,0.0,2.543,508.6
KRAS_PICK3CG-RBD_norfitness_1HE8,N2,200,True,0.0,0.152,30.3
KRAS_PICK3CG-RBD_norfitness_1HE8,N2b,200,True,0.0,2.759,551.7
KRAS_PICK3CG-RBD_norfitness_1HE8,N2c,200,True,0.0,2.512,502.5
KRAS_RAF1-RBD_norfitness_6VJJ,N1,200,True,0.0,3.124,624.7
KRAS_RAF1-RBD_norfitness_6VJJ,N2,200,True,0.0,0.167,33.4
KRAS_RAF1-RBD_norfitness_6VJJ,N2b,200,True,0.0,3.375,675.0
