DMS_id,n,n_g_levels,n_uniq_y,floor_frac_obs,frac_y_outside_hull,uniq_y_hull,floor_frac_hull_calibrated,floor_frac_hull_ginv,uniq_y_pav_step,floor_frac_pav_step_calibrated,floor_frac_pav_step_ginv
5A12_VEGF_fitness_4ZFF,29981,95,1474,0.0,0.101498,26857,0.0,0.0,340,0.0,0.0
CD19_FMC63_Fitness_7URV,3886,384,2213,0.0,0.007977,3862,0.0,0.0,547,0.0,0.0
CR6261_FluAH1_logKd_3GBN,1887,45,1674,0.113408,0.132485,1701,0.113408,0.085321,154,0.113408,0.085321
CR9114_FluAH1_logKd_4FQI,65094,130,63420,0.025732,0.117031,59067,0.025732,0.058608,317,0.025732,0.058608
CR9114_FluAH3_logKd_4FQY,65535,125,7175,0.890532,0.8907,31,0.890532,0.768139,31,0.890532,0.764645
GB1_IgG-Fc_fitness_1FCC,92891,347,82124,0.0,0.025751,91919,0.0,0.0,719,0.0,0.0
GB1_IgG-Fc_fitness_1FCC_2016,22176,128,19901,0.0,0.010326,21645,0.0,0.0,436,0.0,0.0
KRAS_PICK3CG-RBD_norfitness_1HE8,19203,196,19179,0.0,0.012342,19010,0.0,0.0,428,0.0,0.0
KRAS_RAF1-RBD_norfitness_6VJJ,23162,163,22910,0.0,0.006088,22980,0.0,0.0,478,0.0,0.0
KRAS_RAF1_norfitness_6VJJ,12677,168,12606,0.0,0.020904,12370,0.0,0.0,391,0.0,0.0
KRAS_RALGDS-RBD_norfitness_1LFD,20341,205,20132,0.0,0.022664,19969,0.0,0.0,461,0.0,0.0
KRAS_SOS1_norfitness_8BE4,19425,170,19411,0.0,0.000566,19178,0.0,0.0,384,0.0,0.0
SARS2-RBD_ACE2_deltaKd_6M0J,21872,122,2806,0.238478,0.174835,472,0.238478,0.038565,185,0.238478,0.037754
Z-domain_ZSPA-1_LL1_fitness_1LP1,45476,114,3333,0.0,0.112257,42859,0.0,0.0,340,0.0,0.0
Z-domain_ZSPA-1_LL2_fitness_1LP1,5583,71,2038,0.0,0.042629,5343,0.0,0.0,124,0.0,0.0
Z-domain_ZpA963_HL1_fitness_2M5A,2904,88,2788,0.0,0.006887,2873,0.0,0.0,179,0.0,0.0
hYAP65_peptide_FunctioncalScore_1JMQ,18407,102,12624,0.0,0.09491,18065,0.0,0.0,341,0.0,0.0
