DMS_id,tier,K_obs,K_het,sigma_dyn_range,sd_over_mad,room_injected,tau2_injected,p_mix,v_lo,v_hi,kurt_e_N1,kurt_e_N1_sd,kurt_e_N2c,kurt_e_N2c_sd,dilution_c,room_realised,K_inj_needed
5A12_VEGF_fitness_4ZFF,PRIMARY,2.4097,4.5837,4.25,0.8553,False,-0.4743,,1.0,1.0,3.9273,0.1093,3.9315,0.0984,0.5855,False,1.992
CD19_FMC63_Fitness_7URV,PRIMARY,8.2874,3.8089,2647.92,1.2631,True,1.17578,0.13244,0.5763,3.7752,5.0738,0.5307,7.3412,0.8743,2.5637,True,5.062
CR6261_FluAH1_logKd_3GBN,ARM,3.4454,3.8392,2.74,1.0978,False,-0.10256,,1.0,1.0,3.2194,0.1697,3.2475,0.1698,0.2614,True,4.704
CR9114_FluAH1_logKd_4FQI,ARM,2.7321,4.5621,6.1,1.0027,False,-0.40113,,1.0,1.0,3.9985,0.0409,3.994,0.0409,0.6392,False,2.581
CR9114_FluAH3_logKd_4FQY,CONTROL,4.7858,4.8037,3.49,1.2872,False,-0.00374,,1.0,1.0,3.6405,0.1163,3.6156,0.1228,0.3551,True,8.029
GB1_IgG-Fc_fitness_1FCC,PRIMARY,10.9548,25.1433,24.41,4.1042,False,-0.56431,,1.0,1.0,4.7468,0.0935,4.7523,0.0887,0.0789,True,103.839
GB1_IgG-Fc_fitness_1FCC_2016,PRIMARY,3.5043,4.8352,2.78,1.1608,False,-0.27526,,1.0,1.0,3.3091,0.0806,3.3051,0.089,0.1684,True,5.994
KRAS_PICK3CG-RBD_norfitness_1HE8,PRIMARY,8.1385,12.0676,10.63,2.1879,False,-0.32559,,1.0,1.0,8.2199,0.3278,8.2077,0.3423,0.5757,False,11.926
KRAS_RAF1-RBD_norfitness_6VJJ,PRIMARY,12.2186,17.9545,18.28,2.8218,False,-0.31947,,1.0,1.0,8.5556,0.5884,8.4987,0.47,0.3715,True,27.814
KRAS_RAF1_norfitness_6VJJ,PRIMARY,5.7032,8.7531,8.75,1.7127,False,-0.34844,,1.0,1.0,6.3575,0.3506,6.345,0.3087,0.5836,False,7.632
KRAS_RALGDS-RBD_norfitness_1LFD,PRIMARY,8.1648,16.4717,13.9,2.5099,False,-0.50431,,1.0,1.0,8.028,0.3027,8.0384,0.3311,0.3732,True,16.838
KRAS_SOS1_norfitness_8BE4,PRIMARY,7.1999,10.6819,10.06,1.8586,False,-0.32598,,1.0,1.0,8.0577,0.3731,8.027,0.3736,0.6584,False,9.379
SARS2-RBD_ACE2_deltaKd_6M0J,PRIMARY,18.7845,21.9612,10.79,1.8895,False,-0.14465,,1.0,1.0,4.0403,0.1602,4.0519,0.1662,0.0549,True,290.699
Z-domain_ZSPA-1_LL1_fitness_1LP1,CONTROL,2.8897,4.018,2.64,0.9714,False,-0.28082,,1.0,1.0,8.8665,7.7376,8.7693,7.411,5.7625,False,2.981
Z-domain_ZSPA-1_LL2_fitness_1LP1,CONTROL,7.2398,7.4889,4.61,1.3064,False,-0.03326,,1.0,1.0,4.2509,0.3638,4.2601,0.3694,0.2787,True,18.215
Z-domain_ZpA963_HL1_fitness_2M5A,PRIMARY,4.4474,6.0275,5.37,1.1813,False,-0.26216,,1.0,1.0,5.5029,0.4924,5.4911,0.4674,0.8267,False,4.751
hYAP65_peptide_FunctioncalScore_1JMQ,PRIMARY,4.3636,6.0359,7.13,1.4808,False,-0.27706,,1.0,1.0,3.2539,0.1078,3.2579,0.1019,0.0836,True,19.305
