DMS_id,TR1_obs,TR1_N1,TR1_N2,TR1_N2b,TR1_N2c,TR1_T_N1,rate_sigma_tau3_obs,rate_sigma_tau3_N1,rate_sigma_tau3_N2,rate_sigma_tau3_N2b,rate_sigma_tau3_N2c,rate_sigma_tau3_T_N1,rate_sigma_tau4_obs,rate_sigma_tau4_N1,rate_sigma_tau4_N2,rate_sigma_tau4_N2b,rate_sigma_tau4_N2c,rate_sigma_tau4_T_N1,kurt_e_obs,kurt_e_N1,kurt_e_N2,kurt_e_N2b,kurt_e_N2c,kurt_e_T_N1,icc_addcol_obs,icc_addcol_N1,icc_addcol_N2,icc_addcol_N2b,icc_addcol_N2c,icc_addcol_T_N1,icc_pos_obs,icc_pos_N1,icc_pos_N2,icc_pos_N2b,icc_pos_N2c,icc_pos_T_N1,SI_obs,SI_N1,SI_N2,SI_N2b,SI_N2c,SI_T_N1
5A12_VEGF_fitness_4ZFF,3.998385,7.87454,4.951555,40.156407,7.574716,0.5078,0.017585,0.099787,0.021214,0.096095,0.098856,0.1762,0.00359,0.059491,0.007067,0.075312,0.058122,0.0603,2.409656,3.927349,2.409656,2.987379,3.931466,0.6136,0.054716,0.003448,0.001566,0.002616,0.003492,15.8689,0.033278,0.003159,0.001724,0.002869,0.003119,10.5343,0.249881,0.369947,0.249881,0.270077,0.370419,0.6755
CD19_FMC63_Fitness_7URV,40.660864,23.747158,34.769524,23.914797,22.864606,1.7122,0.115158,0.077104,0.155572,0.076937,0.101526,1.4935,0.067638,0.036582,0.096845,0.036268,0.055708,1.8489,8.287383,5.073757,8.287383,5.007664,7.341192,1.6334,0.333985,0.503803,0.377037,0.514248,0.467197,0.6629,0.194688,0.319843,0.198944,0.313149,0.297497,0.6087,0.381017,0.406647,0.381017,0.406467,0.395895,0.937
CR6261_FluAH1_logKd_3GBN,4.942322,4.065371,3.52351,4.426069,4.013691,1.2157,0.005996,0.017248,0.012191,0.01357,0.016767,0.3476,0.001199,0.004276,0.001807,0.003854,0.004002,0.2804,3.445423,3.219444,3.445423,3.339427,3.24748,1.0702,0.006884,0.000287,0.000567,0.003921,0.000201,23.9861,0.006884,0.000287,0.000567,0.003921,0.000201,23.9861,0.394125,0.55343,0.394125,0.503532,0.552686,0.7121
CR9114_FluAH1_logKd_4FQI,6.4381,6.617817,4.684977,15.502719,6.598537,0.9728,0.026296,0.060742,0.060755,0.064472,0.060328,0.4329,0.007086,0.033624,0.021677,0.044963,0.033299,0.2107,2.732093,3.998453,2.732093,3.582131,3.99398,0.6833,0.005001,0.002634,0.001508,0.005126,0.002613,1.8986,0.005001,0.002634,0.001508,0.005126,0.002613,1.8986,0.323843,0.490434,0.323843,0.613865,0.490352,0.6603
CR9114_FluAH3_logKd_4FQY,6.298352,4.916941,5.089469,10.205402,4.865234,1.2809,0.010818,0.018851,0.030396,0.214234,0.018347,0.5739,0.003718,0.006782,0.012528,0.178029,0.006431,0.5482,4.7858,3.640481,4.7858,1.870676,3.615571,1.3146,0.014028,0.003347,0.00041,0.014617,0.003118,4.1912,0.014028,0.003347,0.00041,0.014617,0.003118,4.1912,0.37043,0.446798,0.37043,0.544577,0.447002,0.8291
GB1_IgG-Fc_fitness_1FCC,4.886958,12.821548,6.39145,12.636528,12.902523,0.3812,0.057091,0.077634,0.087745,0.078576,0.078288,0.7354,0.026109,0.056888,0.051969,0.057461,0.057547,0.459,10.954805,4.746801,10.954805,4.758896,4.752301,2.3078,0.080579,0.054311,0.007719,0.054812,0.054684,1.4837,0.033903,0.033705,0.005067,0.033873,0.033978,1.0059,0.267706,0.381192,0.267706,0.381294,0.381276,0.7023
GB1_IgG-Fc_fitness_1FCC_2016,3.853275,4.721263,3.668465,3.221698,4.704858,0.8162,0.014363,0.040041,0.023062,0.001725,0.039923,0.3587,0.001956,0.014461,0.004574,8.1e-05,0.014389,0.1353,3.504304,3.309133,3.504304,3.338433,3.305125,1.059,0.017608,0.01041,0.0045,0.009143,0.010494,1.6915,0.002564,0.009058,0.004499,0.001361,0.009136,0.2831,0.440864,0.587182,0.440864,0.460476,0.587009,0.7508
KRAS_PICK3CG-RBD_norfitness_1HE8,5.695716,4.935784,8.032969,4.92017,4.928533,1.154,0.037726,0.031723,0.069507,0.031968,0.031852,1.1892,0.015066,0.011152,0.033618,0.011189,0.011246,1.351,8.138523,8.219931,8.138523,8.233345,8.207702,0.9901,0.049717,-0.018931,-0.006839,-0.020064,-0.020471,-2.6262,0.057891,0.01548,0.015441,0.014849,0.014461,3.7397,0.428897,0.522567,0.428897,0.522571,0.523439,0.8208
KRAS_RAF1-RBD_norfitness_6VJJ,9.328936,6.488885,9.118188,6.435824,6.443307,1.4377,0.037087,0.039925,0.077271,0.039569,0.039132,0.9289,0.019425,0.018747,0.041471,0.018366,0.01825,1.0362,12.218582,8.555562,12.218582,8.621608,8.498663,1.4281,0.076702,-0.000131,-0.005592,-0.000683,-0.001379,-585.5115,0.068474,0.028249,0.014501,0.027873,0.027326,2.4239,0.408293,0.568724,0.408293,0.568605,0.568095,0.7179
KRAS_RAF1_norfitness_6VJJ,4.269409,4.795666,6.631525,4.767607,4.801481,0.8903,0.040806,0.030797,0.053032,0.029878,0.030258,1.325,0.013515,0.010875,0.025722,0.01048,0.010696,1.2428,5.703204,6.357471,5.703204,6.311906,6.345029,0.8971,0.153177,-0.027335,-0.00855,-0.026579,-0.027627,-5.6037,0.140669,0.006332,0.006963,0.006576,0.006104,22.2156,0.446529,0.527954,0.446529,0.528059,0.527813,0.8458
