arm,unit,tau,n_Pa,obs_rate,N1_mean_rate,T_N1,N1_p025,N1_p975,grid_guard
unmasked_naive,sigma,2,524256,0.04937473295489227,0.028718498214612708,1.719265839944553,0.02555535845083318,0.03447490348226821,False
unmasked_naive,sigma,3,524256,0.03941204297137276,0.014199789797350912,2.775537070184335,0.011976877708600378,0.01718320820362571,False
unmasked_naive,sigma,4,524256,0.03216749069157053,0.007688514771409388,4.183836754946349,0.0062808055606421295,0.009708377205029603,False
unmasked_naive,sigma,5,524256,0.026139901117011536,0.004485060733687359,5.8282156405763565,0.00353272065555759,0.005739323918085821,False
unmasked_naive,sigma,6,524256,0.020678828663858877,0.0028031248092534942,7.37706312455131,0.002133261231154245,0.003497051059024599,True
unmasked_naive,sigma,8,524256,0.012551120063480437,0.0012751690014038944,9.842711083520937,0.0009689445614356345,0.0016577301928828664,True
unmasked_naive,mad,2,524256,0.20464811084660928,0.23533671526887623,0.8695970393433736,0.2039233218122444,0.4190404115546606,False
unmasked_naive,mad,3,524256,0.1848944027345419,0.210768508133431,0.8772392250245041,0.1823304835805408,0.23428072353964474,False
unmasked_naive,mad,4,524256,0.16869620948544223,0.19729229613013488,0.8550572566410269,0.16297252678080937,0.2264346998412989,False
unmasked_naive,mad,5,524256,0.1554946438381249,0.18557241118842704,0.8379189710491949,0.146361844213514,0.22004459653299152,False
unmasked_naive,mad,6,524256,0.14406511322712567,0.17473096159128365,0.8244967687187059,0.1318949616218031,0.2142974043215528,False
unmasked_naive,mad,8,524256,0.12437435146188122,0.15557201062076542,0.7994648328166557,0.10858769379844961,0.2026578141213453,False
masked_tobit,sigma,2,41688,0.032647284590289774,0.06804678899860424,0.47977700448083493,0.056743794956278126,0.08064586311820084,True
masked_tobit,sigma,3,41688,0.010818460947994627,0.018850806686563734,0.573899097681888,0.011434163349689266,0.027566600443812057,True
masked_tobit,sigma,4,41688,0.0037180963346766455,0.0067815779867666315,0.548264185995063,0.0028372985641219894,0.011668170806523187,True
masked_tobit,sigma,5,41688,0.0009834964498176934,0.0022869671956059654,0.43004396902033465,0.0005619869837077953,0.004768816462477411,True
masked_tobit,sigma,6,41688,0.00014392630972941855,0.0006247899708579552,0.23035950710249145,2.679081642875543e-05,0.0018290100210705278,True
masked_tobit,sigma,8,41688,0.0,3.1296325381824965e-05,0.0,0.0,0.000296148572587035,True
masked_tobit,mad,2,41688,0.1365860679332182,0.16495174234609075,0.8280365274750625,0.14684136529784422,0.1828659397110335,True
masked_tobit,mad,3,41688,0.06076089042410286,0.07453755515496513,0.815171497076604,0.055218091629826306,0.09080214538206909,True
masked_tobit,mad,4,41688,0.02521109192093648,0.02172804597240038,1.1603018491842465,0.011251797202519377,0.036037734329582065,True
masked_tobit,mad,5,41688,0.009906927653041643,0.0036140804024576935,2.7412028925268532,0.001337505620877675,0.007468536338642837,True
masked_tobit,mad,6,41688,0.003238341968911917,0.00037851423639800153,8.555403357423137,5.373095173508463e-05,0.0012411788644022877,True
masked_tobit,mad,8,41688,0.0002158894645941278,8.058560388300383e-07,267.90078400052874,0.0,2.672969967893168e-05,True
