i_amp,i_pi,rep,amp,pi,n_inj_variants,n_Pa,pi_edge_realised,amp_recovered,amp_background,resid_mad_oof,n_iter_used,pi_hat,rho_hat,dBIC,pi_ci_lo,pi_ci_hi,s1,s2,TR,TR_ref_p995,TR_pctile,clause1_TR,clause2_sweep,clause3_mixture,run_sigma,run_mad,T_max,supported,refuted,DMS_id,n_Pa_obs,sigma_bias_ratio
0,0,0,2.0,0.001,46,183690,0.0005008438129457238,1.7508066293738156,0.7019016625292812,0.1885042579619026,10.0,0.1165176025227477,5.863324192507799,-145413.9333925516,0.11460494297270091,0.1184302620727945,0.9550915942247719,5.600011650478946,12.065368776127928,19.014652077609615,34.5,False,False,False,0,0,1.0032973527607632,False,True,GB1_IgG-Fc_fitness_1FCC,183690,0.9938412113964118
0,1,0,2.0,0.005,261,183690,0.00560727312319669,1.7290625475990211,0.7593093101335038,0.1953285226006154,10.0,0.11578985020152885,7.219341780435745,-193238.17751098634,0.1139727729225652,0.11760692748049249,1.0453678848146233,7.546868046767951,14.017775193997046,19.014652077609615,74.5,False,False,False,0,0,1.3466974504218072,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0298204275093907
0,2,0,2.0,0.02,944,183690,0.01933148238880723,1.4205474243475542,0.6955472497585862,0.19588980756558275,10.0,0.14849937085555623,5.494506353878642,-136106.19859204988,0.14634656503835103,0.15065217667276143,0.9335911589007422,5.129622554505053,11.172304076085979,19.014652077609615,23.0,False,False,False,0,0,1.0383883942846566,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0327796610861437
1,0,0,3.0,0.001,51,183690,0.0005552833578311285,2.3971441864430045,0.7389113513380523,0.1859379358435607,10.0,0.14116552593977416,5.36581693197569,-130436.03949353402,0.13904486433097557,0.14328618754857275,0.9820968565179156,5.269751941543931,11.2894909059611,19.014652077609615,24.0,False,False,False,0,0,1.0355133318747651,False,True,GB1_IgG-Fc_fitness_1FCC,183690,0.980310924545057
1,1,0,3.0,0.005,236,183690,0.0035657901899940115,2.4788105420828797,0.7802583501894772,0.18982254857585124,10.0,0.1124431431570653,7.428895507200315,-199824.57686503662,0.11065427694078857,0.11423200937334203,1.081771743635392,8.036369246109215,15.000968781546293,19.014652077609615,86.5,False,False,False,0,0,1.4101751698524914,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0007915665496838
1,2,0,3.0,0.02,945,183690,0.01682726332407861,2.5755116628814343,0.725008279570993,0.19973473255111146,10.0,0.11992479162769394,6.3162166005334734,-163054.83703225316,0.118018268254364,0.12183131500102388,1.0255315891313357,6.477479647642816,12.5042151880574,19.014652077609615,43.0,False,False,False,0,0,1.0811049090538403,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0530510594442564
2,0,0,4.0,0.001,51,183690,0.0005607273123196691,3.0926256881042526,0.7029575190191965,0.19456440441144446,10.0,0.10364752281524628,7.318511508115424,-193529.4537405481,0.10191868130456608,0.10537636432592648,0.9819233437122586,7.186217291045343,14.244659510477769,19.014652077609615,77.5,False,False,False,0,0,1.1311376948551088,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0257918068565397
2,1,0,4.0,0.005,246,183690,0.007305786923621318,6.115389143441482,0.7394575976787259,0.18799386361428988,10.0,0.12580353220325036,5.826090679289195,-145800.87551392592,0.12382465717532959,0.12778240723117112,1.0197503024103503,5.94115773207528,11.11343493135392,19.014652077609615,20.5,False,False,False,0,0,1.0557287005647007,False,True,GB1_IgG-Fc_fitness_1FCC,183690,0.9911502857791039
2,2,0,4.0,0.02,926,183690,0.02367575807066253,3.6726573658909576,0.7248590776005364,0.1975047751019907,10.0,0.17819434818939703,5.381602990273204,-131971.42812350346,0.17587453163319441,0.18051416474559964,0.9380669370078698,5.048303833277978,10.62012553042081,19.014652077609615,15.0,False,False,False,0,0,1.239502516030226,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0412941705731067
3,0,0,6.0,0.001,50,183690,0.005008438129457238,8.746911467631975,0.70191068923528,0.18821587294623854,10.0,0.12226400782544777,6.365184656210858,-165068.85905687942,0.12034903765725748,0.12417897799363807,0.961708137926349,6.121449883281913,12.684454866498845,19.014652077609615,46.5,False,False,False,0,0,0.9867257845784047,False,True,GB1_IgG-Fc_fitness_1FCC,183690,0.9923207740523702
