DMS_id,tier,n_Pa_obs,n_nested,floor_frac,n_bins_total,n_bins_occupied_obs,max_order,B_N1,B_N2,N1_n_Pa_mean,N1_n_Pa_ratio,N1_n_bins_occupied,N1_max_abs_diff_fixedphi,N1_tv_fixedphi,N1_max_abs_diff_ownphi,N1_tv_ownphi,N1_worst_bin,N1_worst_bin_p_obs,N1_worst_bin_p_null,N1_pass,N2_n_Pa_mean,N2_n_Pa_ratio,N2_n_bins_occupied,N2_max_abs_diff_fixedphi,N2_tv_fixedphi,N2_max_abs_diff_ownphi,N2_tv_ownphi,N2_worst_bin,N2_worst_bin_p_obs,N2_worst_bin_p_null,N2_pass,max_abs_diff,PASS
5A12_VEGF_fitness_4ZFF,PRIMARY,22008,22064,0.0,800,497,7,40,5,22008.0,1.0,510,2.0816681711721685e-17,2.3123321833684596e-16,0.010633633224282093,0.15158237913486006,"order=6,degdec=0,phidec=8",0.01940203562340967,0.01940203562340969,True,22008.0,1.0,497,1.734723475976807e-18,9.608741753652783e-18,1.734723475976807e-18,9.608741753652783e-18,"order=4,degdec=9,phidec=0",0.015221737549981825,0.015221737549981827,True,2.0816681711721685e-17,True
CD19_FMC63_Fitness_7URV,PRIMARY,2883,4540,0.0,300,127,2,40,5,2883.0,1.0,129,2.42861286636753e-17,2.455446870136546e-16,0.007388137356919875,0.08619493583073189,"order=2,degdec=3,phidec=6",0.025667707249392994,0.025667707249393018,True,2883.0,1.0,127,3.469446951953614e-18,1.3986208025063007e-17,3.469446951953614e-18,1.3986208025063007e-17,"order=1,degdec=0,phidec=0",0.026014568158168574,0.02601456815816857,True,2.42861286636753e-17,True
CR6261_FluAH1_logKd_3GBN,ARM,8339,9860,0.113408,1100,232,10,40,5,8094.425,0.9706709437582444,258,0.003645078309921078,0.029869325346177804,0.012870455762362724,0.14133116738238471,"order=4,degdec=7,phidec=2",0.022304832713754646,0.018659754403833568,True,8339.0,1.0,232,1.734723475976807e-18,9.107298248878237e-18,1.734723475976807e-18,9.107298248878237e-18,"order=7,degdec=7,phidec=9",0.014989806931286724,0.014989806931286726,True,0.003645078309921078,True
CR9114_FluAH1_logKd_4FQI,ARM,498561,517544,0.025732,1600,234,15,40,5,493475.7,0.9898000445281521,237,0.003049312512290174,0.019383735369618793,0.006891361298073478,0.08842229587366897,"order=5,degdec=5,phidec=0",0.010006799569160042,0.006957487056869868,True,498561.0,1.0,234,1.734723475976807e-18,6.410345344820545e-18,1.734723475976807e-18,6.410345344820545e-18,"order=5,degdec=5,phidec=1",0.013125775983279879,0.013125775983279877,True,0.003049312512290174,True
CR9114_FluAH3_logKd_4FQY,CONTROL,41688,524272,0.890532,1600,33,15,40,5,37232.075,0.8931125263864901,45,0.014476939888886653,0.04223594080209216,0.019892692833261172,0.0638119970301091,"order=11,degdec=5,phidec=9",0.1440942237574362,0.15857116364632284,True,41688.0,1.0,33,2.7755575615628914e-17,1.3877787807814457e-17,2.7755575615628914e-17,1.3877787807814457e-17,"order=10,degdec=5,phidec=9",0.20912492803684513,0.20912492803684515,True,0.014476939888886653,True
GB1_IgG-Fc_fitness_1FCC,PRIMARY,183690,184735,0.0,200,100,1,40,5,183690.0,1.0,100,1.5612511283791264e-17,2.5804011705155006e-16,0.009957809352713815,0.13691477489248188,"order=1,degdec=5,phidec=8",0.014268604714464587,0.014268604714464572,True,183690.0,1.0,100,1.734723475976807e-18,1.0842021724855044e-17,1.734723475976807e-18,1.0842021724855044e-17,"order=1,degdec=0,phidec=1",0.012864064456421144,0.012864064456421142,True,1.5612511283791264e-17,True
GB1_IgG-Fc_fitness_1FCC_2016,PRIMARY,52149,52175,0.0,400,198,3,40,5,52149.0,1.0,199,1.214306433183765e-17,2.6589719467028095e-16,0.0060624364800859094,0.039416383823275614,"order=3,degdec=0,phidec=5",0.012464285029434889,0.012464285029434877,True,52149.0,1.0,198,1.734723475976807e-18,6.528929957436147e-18,1.734723475976807e-18,6.528929957436147e-18,"order=2,degdec=9,phidec=7",0.01422846075667798,0.014228460756677979,True,1.214306433183765e-17,True
KRAS_PICK3CG-RBD_norfitness_1HE8,PRIMARY,32524,35395,0.0,200,97,1,40,5,32524.0,1.0,99,2.0816681711721685e-17,2.358749588877995e-16,0.004574314352478169,0.03549455786496128,"order=1,degdec=8,phidec=1",0.02293690812938138,0.0229369081293814,True,32524.0,1.0,97,1.734723475976807e-18,8.754932542820448e-18,1.734723475976807e-18,8.754932542820448e-18,"order=1,degdec=0,phidec=3",0.014481613577665723,0.014481613577665722,True,2.0816681711721685e-17,True
KRAS_RAF1-RBD_norfitness_6VJJ,PRIMARY,40257,43202,0.0,200,99,1,40,5,40257.0,1.0,100,2.0816681711721685e-17,2.6584298456165667e-16,0.01784658568696127,0.07406227488387113,"order=1,degdec=7,phidec=0",0.042675807934023896,0.04267580793402392,True,40257.0,1.0,99,1.734723475976807e-18,1.1167282376600696e-17,1.734723475976807e-18,1.1167282376600696e-17,"order=1,degdec=0,phidec=4",0.013786422237126462,0.01378642223712646,True,2.0816681711721685e-17,True
KRAS_RAF1_norfitness_6VJJ,PRIMARY,22938,24138,0.0,200,96,1,40,5,22938.0,1.0,99,2.7755575615628914e-17,2.540082402226196e-16,0.006399860493504224,0.04766762577382509,"order=1,degdec=2,phidec=5",0.02672421309617229,0.02672421309617226,True,22938.0,1.0,96,3.469446951953614e-18,9.025983085941824e-18,3.469446951953614e-18,9.025983085941824e-18,"order=1,degdec=6,phidec=2",0.02567791437788822,0.025677914377888224,True,2.7755575615628914e-17,True
