DMS_id,tier,n_Pa,floor_frac,corr_e_endpoints,obs_rate_tau3,N2_mean_rate_tau3,T_N2_tau3,obs_rate_tau4,N2_mean_rate_tau4,T_N2_tau4
5A12_VEGF_fitness_4ZFF,PRIMARY,22008,0.0,0.32144,0.01758451,0.0213277,0.82449,0.0035896,0.00721283,0.49767
CD19_FMC63_Fitness_7URV,PRIMARY,2883,0.0,-0.06089,0.11515782,0.15549775,0.74058,0.06763788,0.09659383,0.70023
CR6261_FluAH1_logKd_3GBN,ARM,8339,0.113408,0.45491,0.00599592,0.01207819,0.49643,0.00119918,0.00173162,0.69252
CR9114_FluAH1_logKd_4FQI,ARM,498561,0.025732,0.48845,0.02629568,0.0608078,0.43244,0.00708639,0.02164405,0.32741
CR9114_FluAH3_logKd_4FQY,CONTROL,41688,0.890532,0.47113,0.01081846,0.03022357,0.35795,0.0037181,0.01247169,0.29812
GB1_IgG-Fc_fitness_1FCC,PRIMARY,183690,0.0,0.10504,0.05709075,0.08775197,0.65059,0.02610921,0.05205183,0.5016
GB1_IgG-Fc_fitness_1FCC_2016,PRIMARY,52149,0.0,0.24297,0.01436269,0.02304244,0.62331,0.00195593,0.00450402,0.43426
KRAS_PICK3CG-RBD_norfitness_1HE8,PRIMARY,32524,0.0,-0.06411,0.03772599,0.06911573,0.54584,0.0150658,0.03276288,0.45984
KRAS_RAF1-RBD_norfitness_6VJJ,PRIMARY,40257,0.0,-0.01801,0.03708672,0.07639119,0.48548,0.01942519,0.03995777,0.48614
KRAS_RAF1_norfitness_6VJJ,PRIMARY,22938,0.0,-0.0347,0.04080565,0.0513628,0.79446,0.01351469,0.02470747,0.54699
KRAS_RALGDS-RBD_norfitness_1LFD,PRIMARY,34998,0.0,-0.04819,0.04291674,0.0783159,0.548,0.02271558,0.04168295,0.54496
KRAS_SOS1_norfitness_8BE4,PRIMARY,33192,0.0,-0.04058,0.04775247,0.06266028,0.76209,0.01807664,0.02782719,0.6496
SARS2-RBD_ACE2_deltaKd_6M0J,PRIMARY,14516,0.238478,0.28452,0.00764673,0.0363461,0.21039,0.00413337,0.01969,0.20992
Z-domain_ZSPA-1_LL1_fitness_1LP1,CONTROL,67329,0.0,0.20997,0.01122845,0.01665077,0.67435,0.0021239,0.00262146,0.8102
Z-domain_ZSPA-1_LL2_fitness_1LP1,CONTROL,8550,0.0,0.22454,0.01005848,0.02064327,0.48725,0.00245614,0.00767018,0.32022
Z-domain_ZpA963_HL1_fitness_2M5A,PRIMARY,9712,0.0,0.22968,0.01513591,0.01614498,0.9375,0.0026771,0.00334843,0.79951
hYAP65_peptide_FunctioncalScore_1JMQ,PRIMARY,29356,0.0,-0.03095,0.02735386,0.03337444,0.81961,0.00793705,0.00948017,0.83723
