DMS_id,sigma_y,sigma_eps,provenance,source_partner,n_source,r_source,slope_source,resid_sd_source,sigma_over_mad,caveat,upstream_SE_obtained,verdict_stamp
4D5_HER2_fitness_1N8Z,0.0951773,,internal_residual,4D5_HER2_fitness_1N8Z,2080,,,,7.62251,"assay's own cross-fitted residual MAD per phi-decile; conservative (attributes all epistasis to noise). median over 20 equal-count phi bins; range 0.0458-1.4008 (30.6x), so a scalar sigma is a summary only. sigma_over_mad is against 1.4826*MAD(latent z) = 0.0125 -- sigma lives on the LATENT scale here, y does not",False,conditional
4D5_HER2_fitness_1N8Z,0.0173245,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.0173. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
5A12_Ang2_fitness_4ZFG,0.100098,,internal_residual,5A12_Ang2_fitness_4ZFG,944,,,,0.832304,"assay's own cross-fitted residual MAD per phi-decile; conservative (attributes all epistasis to noise). median over 20 equal-count phi bins; range 0.0668-0.1161 (1.7x), so a scalar sigma is a summary only. sigma_over_mad is against 1.4826*MAD(latent z) = 0.1203 -- sigma lives on the LATENT scale here, y does not",False,conditional
5A12_Ang2_fitness_4ZFG,0.0153606,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.0154. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
5A12_VEGF_fitness_4ZFF,0.632529,,internal_residual,5A12_VEGF_fitness_4ZFF,29981,,,,0.60953,"assay's own cross-fitted residual MAD per phi-decile; conservative (attributes all epistasis to noise). median over 20 equal-count phi bins; range 0.2474-1.0502 (4.2x), so a scalar sigma is a summary only. sigma_over_mad is against 1.4826*MAD(latent z) = 1.0377 -- sigma lives on the LATENT scale here, y does not",False,conditional
5A12_VEGF_fitness_4ZFF,0.0623935,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.0624. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
ACE2_SARS2-RBD_enrich_6M17,,,internal_residual,ACE2_SARS2-RBD_enrich_6M17,2186,,,,,"assay's own cross-fitted residual MAD per phi-decile; conservative (attributes all epistasis to noise). saturated additive design (n=2186, M=2185): e == 0 by construction, no internal residual scale exists",False,conditional
ACE2_SARS2-RBD_enrich_6M17,0.157461,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.1575. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
BH3_Bcl-xL_normed_1PQ1,0.0354262,,internal_residual,BH3_Bcl-xL_normed_1PQ1,518,,,,0.119302,"assay's own cross-fitted residual MAD per phi-decile; conservative (attributes all epistasis to noise). median over 20 equal-count phi bins; range 0.0019-0.2099 (110.2x), so a scalar sigma is a summary only. sigma_over_mad is against 1.4826*MAD(latent z) = 0.2969 -- sigma lives on the LATENT scale here, y does not",False,conditional
BH3_Bcl-xL_normed_1PQ1,0.0192082,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.0192. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
BH3_Mcl-1_normed_3KZ0,0.117955,,internal_residual,BH3_Mcl-1_normed_3KZ0,518,,,,0.200917,"assay's own cross-fitted residual MAD per phi-decile; conservative (attributes all epistasis to noise). median over 20 equal-count phi bins; range 0.0056-0.3361 (59.7x), so a scalar sigma is a summary only. sigma_over_mad is against 1.4826*MAD(latent z) = 0.5871 -- sigma lives on the LATENT scale here, y does not",False,conditional
BH3_Mcl-1_normed_3KZ0,0.0238071,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.0238. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
CD19_FMC63_Fitness_7URV,1.88239,,internal_residual,CD19_FMC63_Fitness_7URV,3886,,,,0.284278,"assay's own cross-fitted residual MAD per phi-decile; conservative (attributes all epistasis to noise). median over 20 equal-count phi bins; range 0.0010-2.7662 (2647.9x), so a scalar sigma is a summary only. sigma_over_mad is against 1.4826*MAD(latent z) = 6.6217 -- sigma lives on the LATENT scale here, y does not",False,conditional
CD19_FMC63_Fitness_7URV,1.00539,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 1.0054. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
CR6261_FluAH1_logKd_3GBN,0.232343,,internal_residual,CR6261_FluAH1_logKd_3GBN,1673,,,,0.413551,"assay's own cross-fitted residual MAD per phi-decile; conservative (attributes all epistasis to noise). median over 20 equal-count phi bins; range 0.1474-0.4045 (2.7x), so a scalar sigma is a summary only. sigma_over_mad is against 1.4826*MAD(latent z) = 0.5618 -- sigma lives on the LATENT scale here, y does not",False,conditional
CR6261_FluAH1_logKd_3GBN,0.062985,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.0630. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
CR9114_FluAH1_logKd_4FQI,0.25941,,internal_residual,CR9114_FluAH1_logKd_4FQI,63419,,,,0.361851,"assay's own cross-fitted residual MAD per phi-decile; conservative (attributes all epistasis to noise). median over 20 equal-count phi bins; range 0.0787-0.4796 (6.1x), so a scalar sigma is a summary only. sigma_over_mad is against 1.4826*MAD(latent z) = 0.7169 -- sigma lives on the LATENT scale here, y does not",False,conditional
CR9114_FluAH1_logKd_4FQI,0.0439671,,stipulated,GB1_IgG-Fc_fitness_1FCC vs GB1_IgG-Fc_fitness_1FCC_2016,160,,,,0.2,"imported from the GB1 ratio; never primary; sigma = 0.20 * 1.4826*MAD(y) = 0.0440. NOTE the ratio actually measured on GB1_IgG-Fc_fitness_1FCC is 0.1187, so the stipulated 0.20 is 1.69x that -- conservative.",False,conditional
CR9114_FluAH3_logKd_4FQY,0.290896,,internal_residual,CR9114_FluAH3_logKd_4FQY,7174,,,,0.429524,"assay's own cross-fitted residual MAD per phi-decile; conservative (attributes all epistasis to noise). median over 20 equal-count phi bins; range 0.1994-0.6952 (3.5x), so a scalar sigma is a summary only. sigma_over_mad is against 1.4826*MAD(latent z) = 0.6773 -- sigma lives on the LATENT scale here, y does not",False,conditional
