assay_a,assay_b,relation,join_method,n_shared,sd_eps_a,sd_eps_b,pearson_raw,ols_slope,resid_sd_after_affine,sigma_eps,n_cliff_a_3sigma,R,R_chance_perm,perm_p,sign_agreement,F_spec,F_spec_noise_corrected,verdict_C3N,verdict_stamp,row_role,threshold_label,sigma_mult,cliff_abs_a,replicate_abs_b,frac_flagged_a,frac_flagged_b,n_flagged_a,n_replicated,flagged_frac_exceeds_5pct,R_lo95,R_hi95,R_perm_p995,sign_agreement_chance,sign_agreement_perm_p,frac_cliffs_below_3sigma,frac_cliffs_below_3sigma_def,sigma_y_a,sigma_eps_provenance,spearman_raw,n_eps_a,n_eps_b,n_shared_site_pairs_collapsed,icc_eps_two_measurements,family,caveat,failing_criterion_C3N,notes
KRAS_RAF1_norfitness_6VJJ,KRAS_RAF1-RBD_norfitness_6VJJ,same_interaction_diff_study,canonical_key,10868,0.3193514196107703,0.25342822360471284,0.8120882353351601,0.6444501769934659,0.1478909567399491,0.12431253010008643,1902,0.7450052576235542,0.16382944269190325,9.999000099990002e-05,0.9521556256572029,0.20914516062661567,0.028491818436981963,INCONCLUSIVE,conditional,primary,3sigma_eps_measured,1.0,0.3729375903002593,0.24862506020017286,0.1750092013249908,0.1826463010673537,1902,1417,True,0.6506288353798809,0.8058974519180756,0.1829652996845426,0.5957940063091482,9.999000099990002e-05,0.3387096774193548,fraction of catalogued cliffs (|c_hat| >= 4 inside P_a; n=310) whose raw |delta_y| < 3 sigma_y = 0.4437,0.147891,"measured_replicate (KRAS twin, contaminated by the construct difference)",0.5586114327000397,11462,20041,601,0.7764026519421207,F2,upper bound; different construct (full RAF1 vs RBD-only) and different library (63 vs 166 positions); affine alignment only valid if the construct effect is affine in eps,support_failed:C3N.R>=0.7&chance<=0.1,"{""B_perm"": 10000, ""D5"": ""both thresholds are reported and the flagged fraction is part of the result: sigma_eps = 0.1243 and sqrt(3)*sigma_y = 0.2055 disagree by a factor 1.65"", ""F_spec_definition"": ""eps^(a) = mu + delta^(a) + noise over the two measurements: Var(mu) = Cov(eps_a, eps_b), Var(delta)+Var(noise) = mean Var - Cov, Var(noise) = sigma_eps^2"", ""boot_B"": 1000, ""cov_ab"": 0.06572446, ""n_position_blocks"": 57, ""var_a"": 0.10198533, ""var_b"": 0.06422586}"
KRAS_RAF1_norfitness_6VJJ,KRAS_RAF1-RBD_norfitness_6VJJ,same_interaction_diff_study,canonical_key,10868,0.3193514196107703,0.25342822360471284,0.8120882353351601,0.6444501769934659,0.1478909567399491,0.062156265050043215,3427,0.6533411146775605,0.2467032681645754,9.999000099990002e-05,0.8558505981908374,0.20914516062661567,0.028491818436981963,INCONCLUSIVE,conditional,sensitivity,3sigma_eps_measured,0.5,0.18646879515012965,0.12431253010008643,0.3153294074346706,0.34210526315789475,3427,2239,True,0.5511302275705946,0.7410091461714349,0.2629121680770353,0.5730161949226729,9.999000099990002e-05,0.3387096774193548,fraction of catalogued cliffs (|c_hat| >= 4 inside P_a; n=310) whose raw |delta_y| < 3 sigma_y = 0.4437,0.147891,"measured_replicate (KRAS twin, contaminated by the construct difference)",0.5586114327000397,11462,20041,601,0.7764026519421207,F2,upper bound; different construct (full RAF1 vs RBD-only) and different library (63 vs 166 positions); affine alignment only valid if the construct effect is affine in eps,support_failed:C3N.R>=0.7&chance<=0.1,"{""B_perm"": 10000, ""D5"": ""both thresholds are reported and the flagged fraction is part of the result: sigma_eps = 0.1243 and sqrt(3)*sigma_y = 0.2055 disagree by a factor 1.65"", ""F_spec_definition"": ""eps^(a) = mu + delta^(a) + noise over the two measurements: Var(mu) = Cov(eps_a, eps_b), Var(delta)+Var(noise) = mean Var - Cov, Var(noise) = sigma_eps^2"", ""boot_B"": 1000, ""cov_ab"": 0.06572446, ""n_position_blocks"": 57, ""var_a"": 0.10198533, ""var_b"": 0.06422586}"
KRAS_RAF1_norfitness_6VJJ,KRAS_RAF1-RBD_norfitness_6VJJ,same_interaction_diff_study,canonical_key,10868,0.3193514196107703,0.25342822360471284,0.8120882353351601,0.6444501769934659,0.1478909567399491,0.24862506020017286,852,0.7863849765258216,0.0783926056338028,9.999000099990002e-05,1.0,0.20914516062661567,0.028491818436981963,INCONCLUSIVE,conditional,sensitivity,3sigma_eps_measured,2.0,0.7458751806005186,0.4972501204003457,0.07839528892160472,0.07903938167096061,852,670,True,0.6913601011546904,0.8415418944307801,0.10093896713615023,0.6005653755868545,9.999000099990002e-05,0.3387096774193548,fraction of catalogued cliffs (|c_hat| >= 4 inside P_a; n=310) whose raw |delta_y| < 3 sigma_y = 0.4437,0.147891,"measured_replicate (KRAS twin, contaminated by the construct difference)",0.5586114327000397,11462,20041,601,0.7764026519421207,F2,upper bound; different construct (full RAF1 vs RBD-only) and different library (63 vs 166 positions); affine alignment only valid if the construct effect is affine in eps,,"{""B_perm"": 10000, ""D5"": ""both thresholds are reported and the flagged fraction is part of the result: sigma_eps = 0.1243 and sqrt(3)*sigma_y = 0.2055 disagree by a factor 1.65"", ""F_spec_definition"": ""eps^(a) = mu + delta^(a) + noise over the two measurements: Var(mu) = Cov(eps_a, eps_b), Var(delta)+Var(noise) = mean Var - Cov, Var(noise) = sigma_eps^2"", ""boot_B"": 1000, ""cov_ab"": 0.06572446, ""n_position_blocks"": 57, ""var_a"": 0.10198533, ""var_b"": 0.06422586}"
KRAS_RAF1_norfitness_6VJJ,KRAS_RAF1-RBD_norfitness_6VJJ,same_interaction_diff_study,canonical_key,10868,0.3193514196107703,0.25342822360471284,0.8120882353351601,0.6444501769934659,0.1478909567399491,0.2563435195201938,822,0.7931873479318735,0.07590644768856449,9.999000099990002e-05,1.0,0.20914516062661567,0.028491818436981963,INCONCLUSIVE,conditional,primary,3sqrt3sigma_y_contrast,1.0,0.7690305585605814,0.5126870390403876,0.07563489142436511,0.076370997423629,822,652,True,0.7030697060502283,0.8441456137415648,0.09854014598540146,0.6005709245742092,9.999000099990002e-05,0.3387096774193548,fraction of catalogued cliffs (|c_hat| >= 4 inside P_a; n=310) whose raw |delta_y| < 3 sigma_y = 0.4437,0.147891,"sqrt(3) * sigma_y: eps is a 4-term contrast, Var(eps) ~ 3 sigma_y^2 (ORCHESTRATOR D5)",0.5586114327000397,11462,20041,601,0.7764026519421207,F2,upper bound; different construct (full RAF1 vs RBD-only) and different library (63 vs 166 positions); affine alignment only valid if the construct effect is affine in eps,,"{""B_perm"": 10000, ""D5"": ""both thresholds are reported and the flagged fraction is part of the result: sigma_eps = 0.1243 and sqrt(3)*sigma_y = 0.2055 disagree by a factor 1.65"", ""F_spec_definition"": ""eps^(a) = mu + delta^(a) + noise over the two measurements: Var(mu) = Cov(eps_a, eps_b), Var(delta)+Var(noise) = mean Var - Cov, Var(noise) = sigma_eps^2"", ""boot_B"": 1000, ""cov_ab"": 0.06572446, ""n_position_blocks"": 57, ""var_a"": 0.10198533, ""var_b"": 0.06422586}"
KRAS_RAF1_norfitness_6VJJ,KRAS_RAF1-RBD_norfitness_6VJJ,same_interaction_diff_study,canonical_key,10868,0.3193514196107703,0.25342822360471284,0.8120882353351601,0.6444501769934659,0.1478909567399491,0.1281717597600969,1856,0.7451508620689655,0.15923960129310344,9.999000099990002e-05,0.9547413793103449,0.20914516062661567,0.028491818436981963,INCONCLUSIVE,conditional,sensitivity,3sqrt3sigma_y_contrast,0.5,0.3845152792802907,0.2563435195201938,0.17077659182922342,0.17666543982333455,1856,1383,True,0.6526239674437735,0.8044458622109995,0.1783405172413793,0.5962466594827586,9.999000099990002e-05,0.3387096774193548,fraction of catalogued cliffs (|c_hat| >= 4 inside P_a; n=310) whose raw |delta_y| < 3 sigma_y = 0.4437,0.147891,"sqrt(3) * sigma_y: eps is a 4-term contrast, Var(eps) ~ 3 sigma_y^2 (ORCHESTRATOR D5)",0.5586114327000397,11462,20041,601,0.7764026519421207,F2,upper bound; different construct (full RAF1 vs RBD-only) and different library (63 vs 166 positions); affine alignment only valid if the construct effect is affine in eps,support_failed:C3N.R>=0.7&chance<=0.1,"{""B_perm"": 10000, ""D5"": ""both thresholds are reported and the flagged fraction is part of the result: sigma_eps = 0.1243 and sqrt(3)*sigma_y = 0.2055 disagree by a factor 1.65"", ""F_spec_definition"": ""eps^(a) = mu + delta^(a) + noise over the two measurements: Var(mu) = Cov(eps_a, eps_b), Var(delta)+Var(noise) = mean Var - Cov, Var(noise) = sigma_eps^2"", ""boot_B"": 1000, ""cov_ab"": 0.06572446, ""n_position_blocks"": 57, ""var_a"": 0.10198533, ""var_b"": 0.06422586}"
KRAS_RAF1_norfitness_6VJJ,KRAS_RAF1-RBD_norfitness_6VJJ,same_interaction_diff_study,canonical_key,10868,0.3193514196107703,0.25342822360471284,0.8120882353351601,0.6444501769934659,0.1478909567399491,0.5126870390403876,5,0.4,0.014719999999999999,0.0014998500149985001,1.0,0.20914516062661567,0.028491818436981963,INCONCLUSIVE,conditional,sensitivity,3sqrt3sigma_y_contrast,2.0,1.538061117121163,1.0253740780807752,0.00046006624953993377,0.014354066985645933,5,2,False,0.0,1.0,0.2,0.6014799999999999,0.0776922307769223,0.3387096774193548,fraction of catalogued cliffs (|c_hat| >= 4 inside P_a; n=310) whose raw |delta_y| < 3 sigma_y = 0.4437,0.147891,"sqrt(3) * sigma_y: eps is a 4-term contrast, Var(eps) ~ 3 sigma_y^2 (ORCHESTRATOR D5)",0.5586114327000397,11462,20041,601,0.7764026519421207,F2,upper bound; different construct (full RAF1 vs RBD-only) and different library (63 vs 166 positions); affine alignment only valid if the construct effect is affine in eps,support_failed:C3N.R>=0.7&chance<=0.1,"{""B_perm"": 10000, ""D5"": ""both thresholds are reported and the flagged fraction is part of the result: sigma_eps = 0.1243 and sqrt(3)*sigma_y = 0.2055 disagree by a factor 1.65"", ""F_spec_definition"": ""eps^(a) = mu + delta^(a) + noise over the two measurements: Var(mu) = Cov(eps_a, eps_b), Var(delta)+Var(noise) = mean Var - Cov, Var(noise) = sigma_eps^2"", ""boot_B"": 1000, ""cov_ab"": 0.06572446, ""n_position_blocks"": 57, ""var_a"": 0.10198533, ""var_b"": 0.06422586}"
GB1_IgG-Fc_fitness_1FCC,GB1_IgG-Fc_fitness_1FCC_2016,same_partner_diff_construct,canonical_key,53,0.3497066309482503,0.36911684846016873,0.8914119209655995,0.9408891048318094,0.16891358875056442,0.1230205161742909,,,,,,,,INCONCLUSIVE,conditional,context_not_a_replicate,n/a,,,,,,,,,,,,,,,,0.128109,cross_study_contaminated,0.786486050636994,91845,188,2,,F1,"chain-C pos 2 WT differs (Q vs T) => two backgrounds, not two measurements",,"{""R_left_empty_on_purpose"": ""chain C position 2 is Q in the 55-site library and T in the 4-site library: TWO BACKGROUNDS, not two measurements, so an R here would give verdict_C3N a second family when the spec says C3-N is testable in exactly one"", ""wt_seq_differences"": [[""C"", ""2"", ""Q"", ""T""]], ""y_level_n_shared"": 160, ""y_level_r"": 0.978913}"
KRAS_RAF1-RBD_norfitness_6VJJ,KRAS_RALGDS-RBD_norfitness_1LFD,same_library_diff_partner,canonical_key,0,0.0,0.0,,,,0.1243,,,,,,,,INCONCLUSIVE,conditional,context_partner_specificity,n/a,,,,,,,,,,,,,,,,0.147891,measured_replicate (KRAS twin),,20041,17390,0,,F2,"SAME library, DIFFERENT partner: the disagreement is partner specificity (C4-I), not measurement noise, so R is left empty on purpose.  MEASURED: n_shared = 0 under join_method=canonical_key, because the four KRAS partner files do NOT share a coordinate system -- RAF1-RBD numbers its mutations on chain A from position 3 while RALGDS-RBD numbers the SAME residues on chain B from position 2 (0 of 166 vs 164 (chain,pos) keys shared, 1 of 23,162 vs 20,341 variant keys).  A cross-partner eps join therefore needs join_method=mutant_pdb_aligned, i.e. the structural alignment T11 builds -- it cannot be done on the canonical key, and stats_c4 must not assume it can.",,"{""cov_ab"": NaN, ""var_pooled"": NaN}"
KRAS_RAF1-RBD_norfitness_6VJJ,KRAS_PICK3CG-RBD_norfitness_1HE8,same_library_diff_partner,canonical_key,0,0.0,0.0,,,,0.1243,,,,,,,,INCONCLUSIVE,conditional,context_partner_specificity,n/a,,,,,,,,,,,,,,,,0.147891,measured_replicate (KRAS twin),,20041,16193,0,,F2,"SAME library, DIFFERENT partner: the disagreement is partner specificity (C4-I), not measurement noise, so R is left empty on purpose.  MEASURED: n_shared = 0 under join_method=canonical_key, because the four KRAS partner files do NOT share a coordinate system -- RAF1-RBD numbers its mutations on chain A from position 3 while RALGDS-RBD numbers the SAME residues on chain B from position 2 (0 of 166 vs 164 (chain,pos) keys shared, 1 of 23,162 vs 20,341 variant keys).  A cross-partner eps join therefore needs join_method=mutant_pdb_aligned, i.e. the structural alignment T11 builds -- it cannot be done on the canonical key, and stats_c4 must not assume it can.",,"{""cov_ab"": NaN, ""var_pooled"": NaN}"
KRAS_RAF1-RBD_norfitness_6VJJ,KRAS_SOS1_norfitness_8BE4,same_library_diff_partner,canonical_key,0,0.0,0.0,,,,0.1243,,,,,,,,INCONCLUSIVE,conditional,context_partner_specificity,n/a,,,,,,,,,,,,,,,,0.147891,measured_replicate (KRAS twin),,20041,16491,0,,F2,"SAME library, DIFFERENT partner: the disagreement is partner specificity (C4-I), not measurement noise, so R is left empty on purpose.  MEASURED: n_shared = 0 under join_method=canonical_key, because the four KRAS partner files do NOT share a coordinate system -- RAF1-RBD numbers its mutations on chain A from position 3 while RALGDS-RBD numbers the SAME residues on chain B from position 2 (0 of 166 vs 164 (chain,pos) keys shared, 1 of 23,162 vs 20,341 variant keys).  A cross-partner eps join therefore needs join_method=mutant_pdb_aligned, i.e. the structural alignment T11 builds -- it cannot be done on the canonical key, and stats_c4 must not assume it can.",,"{""cov_ab"": NaN, ""var_pooled"": NaN}"
