DMS_id,tier,family_id,registered,n_primary_Pa,underpowered_G8,underpowered_source,study_halted,counts_in_family,contributes,eligible_C1,eligible_C2,eligible_C3L,eligible_C4S,eligible_C4I,cluster_channel_adds_C2,cluster_channel_allowed,verdict_C1,verdict_C1_failing_criterion,verdict_C1_clauses,verdict_C1_SI,verdict_C1_V1_over_Vinf,verdict_C1_gamma1,verdict_C1_pos_rs,verdict_C2,verdict_C2_failing_criterion,verdict_C2_clauses,verdict_C2_raw,latent_raw_consistent,verdict_C2_raw_only_positive_discarded,verdict_C3L,verdict_C3L_failing_criterion,verdict_C3L_clauses,verdict_C3A,verdict_C3A_failing_criterion,verdict_C3A_clauses,verdict_C4S,verdict_C4S_failing_criterion,verdict_C4S_clauses,verdict_C4S_assay_permissible,verdict_C5,verdict_C5_failing_criterion,verdict_C5_clauses,verdict_C4S_OR,verdict_C4S_OR_lo95,verdict_C4S_OR_hi95,verdict_C4S_p_NS1,verdict_C4S_OR_ci_covers_1
4D5_HER2_fitness_1N8Z,EXCLUDED,,True,262,False,,False,False,False,False,False,False,False,False,False,,REFUTED,refuted_by:C1.V1>V2,C1.SI<=0.5=F(SI=0.777807) | C1.V1/Vinf<=0.35=F(V1/Vinf=0.546617) | C1.V_monotone_h1_h4=F(monotone=False) | C1.gamma1>=0.6&CIlo>0.45=?(gamma1=NA lo95=NA) | C1.SI>=0.8=F(SI=0.777807) | C1.V1/Vinf>=0.7=F(V1/Vinf=0.546617) | C1.V1>V2=T(from T05 V_h) | C1.gamma1<=0.2&CIhi<0.45=?(gamma1=NA hi95=NA) | C1.pos_rs>=0.7=?(pos_rs=NA),0.7778066159543968,0.5466170401206498,,,INCONCLUSIVE,table_missing:T06,,INCONCLUSIVE,True,False,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,assay_not_permissible_for_C4S,,False,INCONCLUSIVE,table_missing:T12,,,,,,
5A12_Ang2_fitness_4ZFG,EXCLUDED,,True,1281,False,,False,False,False,False,False,False,False,True,False,,REFUTED,refuted_by:C1.SI>=0.8+C1.V1/Vinf>=0.7,C1.SI<=0.5=F(SI=0.844437) | C1.V1/Vinf<=0.35=F(V1/Vinf=0.710283) | C1.V_monotone_h1_h4=T(monotone=True) | C1.gamma1>=0.6&CIlo>0.45=F(gamma1=0.0764488 lo95=-0.0293319) | C1.SI>=0.8=T(SI=0.844437) | C1.V1/Vinf>=0.7=T(V1/Vinf=0.710283) | C1.V1>V2=F(from T05 V_h) | C1.gamma1<=0.2&CIhi<0.45=F(gamma1=0.0764488 hi95=0.462034) | C1.pos_rs>=0.7=?(pos_rs=NA),0.8444367377980267,0.7102832324449837,0.076448846622829,,INCONCLUSIVE,table_missing:T06,,INCONCLUSIVE,True,False,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,assay_not_permissible_for_C4S,,False,INCONCLUSIVE,table_missing:T12,,,,,,
5A12_VEGF_fitness_4ZFF,PRIMARY,F4,True,22010,False,,False,True,True,True,True,True,False,True,False,,INCONCLUSIVE,support_failed:C1.gamma1>=0.6&CIlo>0.45,C1.SI<=0.5=T(SI=0.249881) | C1.V1/Vinf<=0.35=T(V1/Vinf=0.0745416) | C1.V_monotone_h1_h4=T(monotone=True) | C1.gamma1>=0.6&CIlo>0.45=F(gamma1=0.560417 lo95=0.0767061) | C1.SI>=0.8=F(SI=0.249881) | C1.V1/Vinf>=0.7=F(V1/Vinf=0.0745416) | C1.V1>V2=F(from T05 V_h) | C1.gamma1<=0.2&CIhi<0.45=F(gamma1=0.560417 hi95=0.745188) | C1.pos_rs>=0.7=?(pos_rs=NA),0.24988080925888417,0.07454160700848828,0.5604172242433709,,INCONCLUSIVE,table_missing:T06,,INCONCLUSIVE,True,False,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,assay_not_permissible_for_C4S,,False,INCONCLUSIVE,table_missing:T12,,,,,,
ACE2_SARS2-RBD_enrich_6M17,EXCLUDED,,True,0,False,,False,False,False,False,False,False,False,False,False,,INCONCLUSIVE,support_failed:C1.SI<=0.5+C1.V1/Vinf<=0.35,C1.SI<=0.5=F(SI=0.577379) | C1.V1/Vinf<=0.35=F(V1/Vinf=0.479789) | C1.V_monotone_h1_h4=T(monotone=True) | C1.gamma1>=0.6&CIlo>0.45=?(gamma1=NA lo95=NA) | C1.SI>=0.8=F(SI=0.577379) | C1.V1/Vinf>=0.7=F(V1/Vinf=0.479789) | C1.V1>V2=F(from T05 V_h) | C1.gamma1<=0.2&CIhi<0.45=?(gamma1=NA hi95=NA) | C1.pos_rs>=0.7=?(pos_rs=NA),0.5773791638927106,0.47978901710627575,,,INCONCLUSIVE,table_missing:T06,,INCONCLUSIVE,True,False,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,assay_not_permissible_for_C4S,,False,INCONCLUSIVE,table_missing:T12,,,,,,
BH3_Bcl-xL_normed_1PQ1,EXCLUDED,,True,1201,False,,False,False,False,False,False,False,False,True,False,,INCONCLUSIVE,support_failed:C1.SI<=0.5+C1.V1/Vinf<=0.35+C1.V_monotone_h1_h4,C1.SI<=0.5=F(SI=0.647592) | C1.V1/Vinf<=0.35=F(V1/Vinf=0.577616) | C1.V_monotone_h1_h4=F(monotone=False) | C1.gamma1>=0.6&CIlo>0.45=T(gamma1=0.634855 lo95=0.452725) | C1.SI>=0.8=F(SI=0.647592) | C1.V1/Vinf>=0.7=F(V1/Vinf=0.577616) | C1.V1>V2=F(from T05 V_h) | C1.gamma1<=0.2&CIhi<0.45=F(gamma1=0.634855 hi95=0.78823) | C1.pos_rs>=0.7=?(pos_rs=NA),0.6475917377062786,0.5776160766914066,0.6348552975655377,,INCONCLUSIVE,table_missing:T06,,INCONCLUSIVE,True,False,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,assay_not_permissible_for_C4S,,False,INCONCLUSIVE,table_missing:T12,,,,,,
BH3_Mcl-1_normed_3KZ0,EXCLUDED,,True,1201,False,,False,False,False,False,False,False,False,True,False,,INCONCLUSIVE,support_failed:C1.SI<=0.5+C1.V1/Vinf<=0.35+C1.V_monotone_h1_h4,C1.SI<=0.5=F(SI=0.681969) | C1.V1/Vinf<=0.35=F(V1/Vinf=0.512578) | C1.V_monotone_h1_h4=F(monotone=False) | C1.gamma1>=0.6&CIlo>0.45=T(gamma1=0.632661 lo95=0.542055) | C1.SI>=0.8=F(SI=0.681969) | C1.V1/Vinf>=0.7=F(V1/Vinf=0.512578) | C1.V1>V2=F(from T05 V_h) | C1.gamma1<=0.2&CIhi<0.45=F(gamma1=0.632661 hi95=0.724678) | C1.pos_rs>=0.7=?(pos_rs=NA),0.6819692059653603,0.5125783100103701,0.6326605547431042,,INCONCLUSIVE,table_missing:T06,,INCONCLUSIVE,True,False,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,assay_not_permissible_for_C4S,,False,INCONCLUSIVE,table_missing:T12,,,,,,
CD19_FMC63_Fitness_7URV,PRIMARY,F7,True,2922,False,,False,True,True,True,True,True,True,False,False,,INCONCLUSIVE,support_failed:C1.gamma1>=0.6&CIlo>0.45,C1.SI<=0.5=T(SI=0.381017) | C1.V1/Vinf<=0.35=T(V1/Vinf=0.176869) | C1.V_monotone_h1_h4=T(monotone=True) | C1.gamma1>=0.6&CIlo>0.45=F(gamma1=0.392768 lo95=0.261278) | C1.SI>=0.8=F(SI=0.381017) | C1.V1/Vinf>=0.7=F(V1/Vinf=0.176869) | C1.V1>V2=F(from T05 V_h) | C1.gamma1<=0.2&CIhi<0.45=F(gamma1=0.392768 hi95=0.557102) | C1.pos_rs>=0.7=?(pos_rs=NA),0.38101688935333705,0.17686939308914468,0.3927682637365808,,INCONCLUSIVE,table_missing:T06,,INCONCLUSIVE,True,False,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,unevaluable:C4S.OR>=1.5&p_NS1<0.01+C4S.OR<1+C4S.kill_switch_beta_iface_loses_sig_with_rsa,"C4S.OR>=1.5&p_NS1<0.01=?(OR=NA [NA,NA] p_NS1=NA) | C4S.OR<1=?(OR=NA) | C4S.kill_switch_beta_iface_loses_sig_with_rsa=?(beta_after_rsa=NA p_wald (ambiguous; see docstring)=NA (alpha = C4S_p_NS1_sup = 0.01))",,INCONCLUSIVE,table_missing:T12,,,,,,
CR6261_FluAH1_logKd_3GBN,ARM,F8,False,8339,False,,False,True,False,True,True,True,False,False,False,,INCONCLUSIVE,support_failed:C1.gamma1>=0.6&CIlo>0.45,C1.SI<=0.5=T(SI=0.394125) | C1.V1/Vinf<=0.35=T(V1/Vinf=0.257901) | C1.V_monotone_h1_h4=T(monotone=True) | C1.gamma1>=0.6&CIlo>0.45=F(gamma1=0.647594 lo95=0.398107) | C1.SI>=0.8=F(SI=0.394125) | C1.V1/Vinf>=0.7=F(V1/Vinf=0.257901) | C1.V1>V2=F(from T05 V_h) | C1.gamma1<=0.2&CIhi<0.45=F(gamma1=0.647594 hi95=0.857528) | C1.pos_rs>=0.7=?(pos_rs=NA),0.3941246830558486,0.25790077738703104,0.647594080926616,,INCONCLUSIVE,table_missing:T06,,INCONCLUSIVE,True,False,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,row_missing:T09,,,INCONCLUSIVE,table_missing:T12,,,,,,
CR9114_FluAH1_logKd_4FQI,ARM,F8,False,498561,False,,False,True,False,True,True,True,False,True,False,,INCONCLUSIVE,unevaluable:C1.pos_rs>=0.7,C1.SI<=0.5=T(SI=0.323843) | C1.V1/Vinf<=0.35=T(V1/Vinf=0.202056) | C1.V_monotone_h1_h4=T(monotone=True) | C1.gamma1>=0.6&CIlo>0.45=T(gamma1=0.621639 lo95=0.501609) | C1.SI>=0.8=F(SI=0.323843) | C1.V1/Vinf>=0.7=F(V1/Vinf=0.202056) | C1.V1>V2=F(from T05 V_h) | C1.gamma1<=0.2&CIhi<0.45=F(gamma1=0.621639 hi95=0.725871) | C1.pos_rs>=0.7=?(pos_rs=NA),0.32384297925003747,0.2020560859552949,0.6216390588789392,,INCONCLUSIVE,table_missing:T06,,INCONCLUSIVE,True,False,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,row_missing:T09,,,INCONCLUSIVE,table_missing:T12,,,,,,
CR9114_FluAH3_logKd_4FQY,CONTROL,,False,41688,False,,False,False,False,False,False,False,False,True,False,,INCONCLUSIVE,unevaluable:C1.gamma1>=0.6&CIlo>0.45+C1.gamma1<=0.2&CIhi<0.45+C1.pos_rs>=0.7,C1.SI<=0.5=T(SI=0.37043) | C1.V1/Vinf<=0.35=T(V1/Vinf=0.27469) | C1.V_monotone_h1_h4=T(monotone=True) | C1.gamma1>=0.6&CIlo>0.45=?(gamma1=NA lo95=NA) | C1.SI>=0.8=F(SI=0.37043) | C1.V1/Vinf>=0.7=F(V1/Vinf=0.27469) | C1.V1>V2=F(from T05 V_h) | C1.gamma1<=0.2&CIhi<0.45=?(gamma1=NA hi95=NA) | C1.pos_rs>=0.7=?(pos_rs=NA),0.37042958269375303,0.27468960860735847,,,INCONCLUSIVE,table_missing:T06,,INCONCLUSIVE,True,False,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,table_missing:T07,,INCONCLUSIVE,row_missing:T09,,,INCONCLUSIVE,table_missing:T12,,,,,,
